Accuracy: 0.006097560975609756
2	-1	[0.02193614 0.00937607 0.96868783]
2	-1	[0.00434583 0.00536073 0.9902934 ]
2	-1	[0.40769032 0.03433064 0.55797905]
2	-1	[0.12129287 0.01944029 0.8592668 ]
2	-1	[0.0031923  0.00755219 0.98925555]
2	-1	[0.00236573 0.00536448 0.99226975]
2	-1	[0.02409983 0.01385977 0.96204036]
2	-1	[0.04438363 0.0150919  0.94052446]
2	-1	[0.0388169  0.01202481 0.9491583 ]
2	-1	[0.02955505 0.01020945 0.96023554]
2	-1	[0.25122148 0.0356618  0.71311677]
2	-1	[0.46952912 0.03613538 0.49433553]
2	-1	[0.16086581 0.02289357 0.81624067]
2	-1	[0.10968827 0.01493072 0.875381  ]
2	-1	[0.12678663 0.02130989 0.85190344]
2	-1	[0.14026767 0.01622016 0.8435122 ]
2	-1	[0.05909679 0.01558828 0.9253149 ]
2	-1	[0.02025922 0.01016419 0.9695766 ]
2	-1	[0.00752281 0.00761028 0.9848669 ]
2	-1	[0.00341857 0.00560401 0.9909774 ]
2	-1	[0.00568848 0.00642162 0.98788995]
2	-1	[0.00929423 0.00865186 0.9820539 ]
2	-1	[0.06714878 0.01535548 0.91749567]
2	-1	[0.01735097 0.00744968 0.97519934]
2	-1	[0.01397254 0.01147802 0.9745495 ]
2	-1	[0.03001436 0.01297146 0.95701414]
2	-1	[0.00833517 0.00726111 0.9844037 ]
2	-1	[0.0105075  0.00708315 0.98240936]
2	-1	[0.01753476 0.01003959 0.9724256 ]
2	-1	[0.00781427 0.00727512 0.98491067]
2	-1	[0.01690313 0.01086225 0.97223467]
2	-1	[0.01650342 0.01058554 0.972911  ]
2	-1	[0.02365104 0.00866001 0.9676889 ]
2	-1	[0.00670151 0.0053626  0.9879359 ]
2	-1	[0.00430444 0.00732718 0.98836845]
2	-1	[0.00210234 0.00530321 0.9925944 ]
2	-1	[0.08614304 0.02059472 0.89326227]
2	-1	[0.09260154 0.01627397 0.8911244 ]
2	-1	[0.01288754 0.0093601  0.9777524 ]
2	-1	[0.03627524 0.00966547 0.95405924]
2	-1	[0.09929172 0.02300499 0.8777033 ]
2	-1	[0.00992233 0.00820799 0.98186976]
2	-1	[0.11951885 0.02067262 0.8598085 ]
2	-1	[0.08793998 0.01809178 0.8939682 ]
2	-1	[0.00583034 0.01023691 0.98393273]
2	-1	[0.0029068  0.00600428 0.99108887]
2	-1	[0.13052602 0.02362642 0.8458475 ]
2	-1	[0.18880403 0.01955561 0.7916404 ]
2	-1	[0.00159244 0.01140863 0.986999  ]
2	-1	[0.00179904 0.01030334 0.9878976 ]
2	-1	[0.00105553 0.00759382 0.99135065]
2	-1	[8.8356656e-04 6.0736025e-03 9.9304283e-01]
2	-1	[0.01026369 0.00624404 0.9834923 ]
2	-1	[0.00903411 0.00568684 0.9852791 ]
2	-1	[0.0564647  0.01338164 0.9301537 ]
2	-1	[0.03695437 0.00885526 0.9541904 ]
2	-1	[0.00538125 0.00851764 0.9861011 ]
2	-1	[0.00203455 0.00529431 0.99267113]
2	-1	[0.15392144 0.02196909 0.8241095 ]
2	-1	[0.05675634 0.01042611 0.9328175 ]
2	-1	[0.0643159  0.01282683 0.9228572 ]
2	-1	[0.0069273  0.00539362 0.98767906]
2	-1	[0.04309424 0.01289406 0.9440117 ]
2	-1	[0.00305142 0.00547888 0.9914697 ]
2	-1	[0.00753592 0.0058998  0.9865643 ]
2	-1	[0.01172605 0.00638997 0.981884  ]
2	-1	[0.04713377 0.01188637 0.9409799 ]
2	-1	[0.03251155 0.00980673 0.9576817 ]
